ID	KINSHASA_COMMUNE	CODE_TB	TRIBUNAL
1	Maluku	1	KINKOLE
2	Nsele	1	KINKOLE 
3	Masina	1	KINKOLE
4	Kimbanseke	1	KINKOLE
5	Ndjili	1	KINKOLE
6	Gombe	2	GOMBE
7	Kinshasa	2	GOMBE
8	Lingwala	2	GOMBE
9	Barumbu	2	GOMBE
10	Makala	2	GOMBE
11	Ngiri-Ngiri	2	GOMBE
12	Limete	3	MATETE
13	Matete	3	MATETE
14	Ngaba	3	MATETE
15	Kisenso	3	MATETE
16	Lemba	3	MATETE
17	Kalamu	4	KALAMU
18	Kasavubu	4	KALAMU
19	Bumbu	4	KALAMU
20	Selembao	4	KALAMU
21	Bandalungwa	4	KALAMU
22	Ngaliema	5	NGALIEMA
23	Mont-Ngafula	5	NGALIEMA
24	Kintambo	5	NGALIEMA
